Name,API Name,Instance Memory,vCPUs,Memory per vCPU,GPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
F2as v7,F2as v7,8 GiB,2,4 GiB/vCPU,0,0 GiB,$0.137 hourly,,,$0.0253 hourly,$0.229 hourly,,,$0.0423 hourly
F2s,F2s,4 GiB,2,2 GiB/vCPU,0,8 GiB,$0.099 hourly,,,$0.0183 hourly,$0.192 hourly,,,$0.0359 hourly
F2s v2,F2s v2,4 GiB,2,2 GiB/vCPU,0,16 GiB,$0.0846 hourly,,,$0.0249 hourly,$0.177 hourly,,,$0.052 hourly
F32-8ams v7,F32-8ams v7,256 GiB,32,8 GiB/vCPU,0,0 GiB,$3.489 hourly,,,$0.6448 hourly,$4.961 hourly,,,$0.9168 hourly
F32ads v7,F32ads v7,128 GiB,32,4 GiB/vCPU,0,3520 GiB,$2.744 hourly,,,$0.5071 hourly,$4.216 hourly,,,$0.7791 hourly
F32alds v7,F32alds v7,64 GiB,32,2 GiB/vCPU,0,3520 GiB,$2.29 hourly,,,$0.4232 hourly,$3.762 hourly,,,$0.6952 hourly
F32als v6,F32als v6,64 GiB,32,2 GiB/vCPU,0,0 GiB,$1.936 hourly,,,$0.4131 hourly,$3.408 hourly,,,$0.7273 hourly
F32als v7,F32als v7,64 GiB,32,2 GiB/vCPU,0,0 GiB,$1.936 hourly,,,$0.3578 hourly,$3.408 hourly,,,$0.6298 hourly
F32amds v7,F32amds v7,256 GiB,32,8 GiB/vCPU,0,3520 GiB,$3.489 hourly,,,$0.6448 hourly,$4.961 hourly,,,$0.9168 hourly
F32ams v6,F32ams v6,256 GiB,32,8 GiB/vCPU,0,0 GiB,$2.864 hourly,,,$0.6112 hourly,$4.336 hourly,,,$0.9253 hourly
F32ams v7,F32ams v7,256 GiB,32,8 GiB/vCPU,0,0 GiB,$2.864 hourly,,,$0.5293 hourly,$4.336 hourly,,,$0.8013 hourly
F32as v6,F32as v6,128 GiB,32,4 GiB/vCPU,0,0 GiB,$2.186 hourly,,,$0.4665 hourly,$3.658 hourly,,,$0.7806 hourly
F32as v7,F32as v7,128 GiB,32,4 GiB/vCPU,0,0 GiB,$2.186 hourly,,,$0.404 hourly,$3.658 hourly,,,$0.676 hourly
F32s v2,F32s v2,64 GiB,32,2 GiB/vCPU,0,256 GiB,$1.353 hourly,,,$0.3978 hourly,$2.83 hourly,,,$0.832 hourly
F4,F4,8 GiB,4,2 GiB/vCPU,0,64 GiB,$0.358 hourly,,,$0.0662 hourly,$0.542 hourly,,,$0.1002 hourly
F48ads v7,F48ads v7,192 GiB,48,4 GiB/vCPU,0,5280 GiB,$4.116 hourly,,,$0.7606 hourly,$6.324 hourly,,,$1.1687 hourly
F48alds v7,F48alds v7,96 GiB,48,2 GiB/vCPU,0,5280 GiB,$3.434 hourly,,,$0.6346 hourly,$5.642 hourly,,,$1.0426 hourly
F48als v6,F48als v6,96 GiB,48,2 GiB/vCPU,0,0 GiB,$2.904 hourly,,,$0.6197 hourly,$5.112 hourly,,,$1.0909 hourly
F48als v7,F48als v7,96 GiB,48,2 GiB/vCPU,0,0 GiB,$2.904 hourly,,,$0.5367 hourly,$5.112 hourly,,,$0.9447 hourly
F48amds v7,F48amds v7,384 GiB,48,8 GiB/vCPU,0,5280 GiB,$5.233 hourly,,,$0.9671 hourly,$7.441 hourly,,,$1.3751 hourly
F48ams v6,F48ams v6,384 GiB,48,8 GiB/vCPU,0,0 GiB,$4.296 hourly,,,$0.9168 hourly,$6.504 hourly,,,$1.388 hourly
F48ams v7,F48ams v7,384 GiB,48,8 GiB/vCPU,0,0 GiB,$4.296 hourly,,,$0.7939 hourly,$6.504 hourly,,,$1.2019 hourly
F48as v6,F48as v6,192 GiB,48,4 GiB/vCPU,0,0 GiB,$3.278 hourly,,,$0.6995 hourly,$5.486 hourly,,,$1.1707 hourly
F48as v7,F48as v7,192 GiB,48,4 GiB/vCPU,0,0 GiB,$3.278 hourly,,,$0.6058 hourly,$5.486 hourly,,,$1.0138 hourly
F48s v2,F48s v2,96 GiB,48,2 GiB/vCPU,0,384 GiB,$2.03 hourly,,,$0.5968 hourly,$4.24 hourly,,,$1.2466 hourly
F4ads v7,F4ads v7,16 GiB,4,4 GiB/vCPU,0,440 GiB,$0.343 hourly,,,$0.0634 hourly,$0.527 hourly,,,$0.0974 hourly
F4alds v7,F4alds v7,8 GiB,4,2 GiB/vCPU,0,440 GiB,$0.286 hourly,,,$0.0529 hourly,$0.47 hourly,,,$0.0869 hourly
F4als v6,F4als v6,8 GiB,4,2 GiB/vCPU,0,0 GiB,$0.242 hourly,,,$0.0516 hourly,$0.426 hourly,,,$0.0909 hourly
F4als v7,F4als v7,8 GiB,4,2 GiB/vCPU,0,0 GiB,$0.242 hourly,,,$0.0447 hourly,$0.426 hourly,,,$0.0787 hourly
F4amds v7,F4amds v7,32 GiB,4,8 GiB/vCPU,0,440 GiB,$0.436 hourly,,,$0.0806 hourly,$0.62 hourly,,,$0.1146 hourly
F4ams v6,F4ams v6,32 GiB,4,8 GiB/vCPU,0,0 GiB,$0.358 hourly,,,$0.0764 hourly,$0.542 hourly,,,$0.1157 hourly
F4ams v7,F4ams v7,32 GiB,4,8 GiB/vCPU,0,0 GiB,$0.358 hourly,,,$0.0662 hourly,$0.542 hourly,,,$0.1002 hourly
F4as v6,F4as v6,16 GiB,4,4 GiB/vCPU,0,0 GiB,$0.273 hourly,,,$0.0583 hourly,$0.457 hourly,,,$0.0975 hourly
F4as v7,F4as v7,16 GiB,4,4 GiB/vCPU,0,0 GiB,$0.273 hourly,,,$0.0505 hourly,$0.457 hourly,,,$0.0845 hourly
F4s,F4s,8 GiB,4,2 GiB/vCPU,0,16 GiB,$0.199 hourly,,,$0.0368 hourly,$0.383 hourly,,,$0.0715 hourly
F4s v2,F4s v2,8 GiB,4,2 GiB/vCPU,0,32 GiB,$0.169 hourly,,,$0.0497 hourly,$0.354 hourly,,,$0.1041 hourly
F64-32ams v7,F64-32ams v7,512 GiB,64,8 GiB/vCPU,0,0 GiB,$5.728 hourly,,,$1.0585 hourly,$9.921 hourly,,,$1.8334 hourly
F64ads v7,F64ads v7,256 GiB,64,4 GiB/vCPU,0,7040 GiB,$5.488 hourly,,,$1.0142 hourly,$8.432 hourly,,,$1.5582 hourly
F64alds v7,F64alds v7,128 GiB,64,2 GiB/vCPU,0,7040 GiB,$4.579 hourly,,,$0.8462 hourly,$7.523 hourly,,,$1.3903 hourly
F64als v6,F64als v6,128 GiB,64,2 GiB/vCPU,0,0 GiB,$3.872 hourly,,,$0.8263 hourly,$6.816 hourly,,,$1.4545 hourly
F64als v7,F64als v7,128 GiB,64,2 GiB/vCPU,0,0 GiB,$3.872 hourly,,,$0.7155 hourly,$6.816 hourly,,,$1.2596 hourly
F64amds v7,F64amds v7,512 GiB,64,8 GiB/vCPU,0,7040 GiB,$6.977 hourly,,,$1.2894 hourly,$9.921 hourly,,,$1.8334 hourly
F64ams v6,F64ams v6,512 GiB,64,8 GiB/vCPU,0,0 GiB,$5.728 hourly,,,$1.2224 hourly,$8.672 hourly,,,$1.8506 hourly
F64ams v7,F64ams v7,512 GiB,64,8 GiB/vCPU,0,0 GiB,$5.728 hourly,,,$1.0585 hourly,$8.672 hourly,,,$1.6026 hourly
F64as v6,F64as v6,256 GiB,64,4 GiB/vCPU,0,0 GiB,$4.371 hourly,,,$0.9328 hourly,$7.315 hourly,,,$1.561 hourly
F64as v7,F64as v7,256 GiB,64,4 GiB/vCPU,0,0 GiB,$4.371 hourly,,,$0.8078 hourly,$7.315 hourly,,,$1.3518 hourly
F64s v2,F64s v2,128 GiB,64,2 GiB/vCPU,0,512 GiB,$2.706 hourly,,,$0.7956 hourly,$5.66 hourly,,,$1.664 hourly
F72s v2,F72s v2,144 GiB,72,2 GiB/vCPU,0,576 GiB,$3.045 hourly,,,$0.8952 hourly,$5.86 hourly,,,$1.7228 hourly
F8,F8,16 GiB,8,2 GiB/vCPU,0,128 GiB,$0.716 hourly,,,$0.1323 hourly,$1.084 hourly,,,$0.2003 hourly
F80ads v7,F80ads v7,320 GiB,80,4 GiB/vCPU,0,8800 GiB,$6.86 hourly,,,$1.2677 hourly,$10.54 hourly,,,$1.9478 hourly
F80alds v7,F80alds v7,160 GiB,80,2 GiB/vCPU,0,8800 GiB,$5.724 hourly,,,$1.0578 hourly,$9.404 hourly,,,$1.7379 hourly
F80als v7,F80als v7,160 GiB,80,2 GiB/vCPU,0,0 GiB,$4.84 hourly,,,$0.8944 hourly,$8.52 hourly,,,$1.5745 hourly
F80amds v7,F80amds v7,640 GiB,80,8 GiB/vCPU,0,8000 GiB,$8.722 hourly,,,$1.6118 hourly,$12.402 hourly,,,$2.2919 hourly
F80ams v7,F80ams v7,640 GiB,80,8 GiB/vCPU,0,0 GiB,$7.16 hourly,,,$1.3232 hourly,$10.84 hourly,,,$2.0032 hourly
F80as v7,F80as v7,320 GiB,80,4 GiB/vCPU,0,0 GiB,$5.464 hourly,,,$1.0097 hourly,$9.144 hourly,,,$1.6898 hourly
F8ads v7,F8ads v7,32 GiB,8,4 GiB/vCPU,0,880 GiB,$0.686 hourly,,,$0.1268 hourly,$1.054 hourly,,,$0.1948 hourly
F8alds v7,F8alds v7,16 GiB,8,2 GiB/vCPU,0,880 GiB,$0.572 hourly,,,$0.1057 hourly,$0.94 hourly,,,$0.1737 hourly
F8als v6,F8als v6,16 GiB,8,2 GiB/vCPU,0,0 GiB,$0.484 hourly,,,$0.1033 hourly,$0.852 hourly,,,$0.1818 hourly
F8als v7,F8als v7,16 GiB,8,2 GiB/vCPU,0,0 GiB,$0.484 hourly,,,$0.0894 hourly,$0.852 hourly,,,$0.1575 hourly
F8amds v7,F8amds v7,64 GiB,8,8 GiB/vCPU,0,880 GiB,$0.872 hourly,,,$0.1611 hourly,$1.24 hourly,,,$0.2292 hourly
F8ams v6,F8ams v6,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.716 hourly,,,$0.1528 hourly,$1.084 hourly,,,$0.2313 hourly
F8ams v7,F8ams v7,64 GiB,8,8 GiB/vCPU,0,0 GiB,$0.716 hourly,,,$0.1323 hourly,$1.084 hourly,,,$0.2003 hourly
F8as v6,F8as v6,32 GiB,8,4 GiB/vCPU,0,0 GiB,$0.546 hourly,,,$0.1165 hourly,$0.914 hourly,,,$0.195 hourly
F8as v7,F8as v7,32 GiB,8,4 GiB/vCPU,0,0 GiB,$0.546 hourly,,,$0.1009 hourly,$0.914 hourly,,,$0.1689 hourly
F8s,F8s,16 GiB,8,2 GiB/vCPU,0,32 GiB,$0.398 hourly,,,$0.0736 hourly,$0.766 hourly,,,$0.1431 hourly
F8s v2,F8s v2,16 GiB,8,2 GiB/vCPU,0,64 GiB,$0.338 hourly,,,$0.0994 hourly,$0.708 hourly,,,$0.2082 hourly
FX12-6ms v2,FX12-6ms v2,252 GiB,12,21 GiB/vCPU,0,0 GiB,$1.641 hourly,,,$0.3033 hourly,$1.88 hourly,,,$0.3474 hourly
FX12mds,FX12mds,252 GiB,12,21 GiB/vCPU,0,504 GiB,$1.116 hourly,,,$0.2062 hourly,$1.668 hourly,,,$0.3082 hourly
FX12mds v2,FX12mds v2,252 GiB,12,21 GiB/vCPU,0,880 GiB,$1.641 hourly,,,$0.3033 hourly,$2.193 hourly,,,$0.4053 hourly
FX12ms v2,FX12ms v2,252 GiB,12,21 GiB/vCPU,0,0 GiB,$1.328 hourly,,,$0.2454 hourly,$1.88 hourly,,,$0.3474 hourly
FX16-8ms v2,FX16-8ms v2,336 GiB,16,21 GiB/vCPU,0,0 GiB,$1.771 hourly,,,$0.3273 hourly,$2.507 hourly,,,$0.4633 hourly
FX16mds v2,FX16mds v2,336 GiB,16,21 GiB/vCPU,0,880 GiB,$2.188 hourly,,,$0.4043 hourly,$2.924 hourly,,,$0.5404 hourly
FX16ms v2,FX16ms v2,336 GiB,16,21 GiB/vCPU,0,0 GiB,$1.771 hourly,,,$0.3273 hourly,$2.507 hourly,,,$0.4633 hourly
FX24-6ms v2,FX24-6ms v2,504 GiB,24,21 GiB/vCPU,0,0 GiB,$3.282 hourly,,,$0.6065 hourly,$4.386 hourly,,,$0.8105 hourly
FX24mds,FX24mds,504 GiB,24,21 GiB/vCPU,0,1008 GiB,$2.232 hourly,,,$0.4125 hourly,$3.336 hourly,,,$0.6165 hourly
FX24mds v2,FX24mds v2,504 GiB,24,21 GiB/vCPU,0,1320 GiB,$3.282 hourly,,,$0.6065 hourly,$4.386 hourly,,,$0.8105 hourly
FX24ms v2,FX24ms v2,504 GiB,24,21 GiB/vCPU,0,0 GiB,$2.656 hourly,,,$0.4908 hourly,$3.76 hourly,,,$0.6948 hourly
FX2mds v2,FX2mds v2,42 GiB,2,21 GiB/vCPU,0,110 GiB,$0.274 hourly,,,$0.0506 hourly,$0.366 hourly,,,$0.0676 hourly
FX2ms v2,FX2ms v2,42 GiB,2,21 GiB/vCPU,0,0 GiB,$0.221 hourly,,,$0.0408 hourly,$0.313 hourly,,,$0.0578 hourly
FX32-8ms v2,FX32-8ms v2,672 GiB,32,21 GiB/vCPU,0,0 GiB,$3.541 hourly,,,$0.6544 hourly,$5.849 hourly,,,$1.0809 hourly
FX32mds v2,FX32mds v2,672 GiB,32,21 GiB/vCPU,0,1760 GiB,$4.377 hourly,,,$0.8089 hourly,$5.849 hourly,,,$1.0809 hourly
FX32ms v2,FX32ms v2,672 GiB,32,21 GiB/vCPU,0,0 GiB,$3.541 hourly,,,$0.6544 hourly,$5.013 hourly,,,$0.9264 hourly
FX36mds,FX36mds,756 GiB,36,21 GiB/vCPU,0,1512 GiB,$3.348 hourly,,,$0.6187 hourly,$5.004 hourly,,,$0.9247 hourly
FX4-2ms v2,FX4-2ms v2,84 GiB,4,21 GiB/vCPU,0,0 GiB,$0.443 hourly,,,$0.0819 hourly,$0.627 hourly,,,$0.1159 hourly
FX48-24ms v2,FX48-24ms v2,1008 GiB,48,21 GiB/vCPU,0,0 GiB,$5.312 hourly,,,$0.9817 hourly,$8.773 hourly,,,$1.6213 hourly
FX48mds,FX48mds,1008 GiB,48,21 GiB/vCPU,0,2016 GiB,$4.464 hourly,,,$0.8249 hourly,$6.672 hourly,,,$1.233 hourly
FX48mds v2,FX48mds v2,1008 GiB,48,21 GiB/vCPU,0,2640 GiB,$6.565 hourly,,,$1.2132 hourly,$8.773 hourly,,,$1.6213 hourly
FX48ms v2,FX48ms v2,1008 GiB,48,21 GiB/vCPU,0,0 GiB,$5.312 hourly,,,$0.9817 hourly,$7.52 hourly,,,$1.3897 hourly
FX4mds,FX4mds,84 GiB,4,21 GiB/vCPU,0,168 GiB,$0.372 hourly,,,$0.0687 hourly,$0.556 hourly,,,$0.1027 hourly
FX4mds v2,FX4mds v2,84 GiB,4,21 GiB/vCPU,0,220 GiB,$0.547 hourly,,,$0.1011 hourly,$0.731 hourly,,,$0.1351 hourly
FX4ms v2,FX4ms v2,84 GiB,4,21 GiB/vCPU,0,0 GiB,$0.443 hourly,,,$0.0819 hourly,$0.627 hourly,,,$0.1159 hourly
FX64-32ms v2,FX64-32ms v2,1344 GiB,64,21 GiB/vCPU,0,0 GiB,$7.082 hourly,,,$1.3088 hourly,$11.697 hourly,,,$2.1616 hourly
FX64mds v2,FX64mds v2,1344 GiB,64,21 GiB/vCPU,0,3520 GiB,$8.753 hourly,,,$1.6176 hourly,$11.697 hourly,,,$2.1616 hourly
FX64ms v2,FX64ms v2,1344 GiB,64,21 GiB/vCPU,0,0 GiB,$7.082 hourly,,,$1.3088 hourly,$10.026 hourly,,,$1.8528 hourly
FX8-4ms v2,FX8-4ms v2,168 GiB,8,21 GiB/vCPU,0,0 GiB,$0.885 hourly,,,$0.1635 hourly,$1.253 hourly,,,$0.2316 hourly
FX8mds v2,FX8mds v2,168 GiB,8,21 GiB/vCPU,0,440 GiB,$1.094 hourly,,,$0.2022 hourly,$1.462 hourly,,,$0.2702 hourly
FX8ms v2,FX8ms v2,168 GiB,8,21 GiB/vCPU,0,0 GiB,$0.885 hourly,,,$0.1635 hourly,$1.253 hourly,,,$0.2316 hourly
FX96-48ms v2,FX96-48ms v2,1832 GiB,96,19.08 GiB/vCPU,0,0 GiB,$10.623 hourly,,,$1.9631 hourly,$15.039 hourly,,,$2.7792 hourly
FX96mds v2,FX96mds v2,1832 GiB,96,19.08 GiB/vCPU,0,5280 GiB,$13.13 hourly,,,$2.4264 hourly,$17.546 hourly,,,$3.2425 hourly
FX96ms v2,FX96ms v2,1832 GiB,96,19.08 GiB/vCPU,0,0 GiB,$10.623 hourly,,,$1.9631 hourly,$15.039 hourly,,,$2.7792 hourly
G1,G1,28 GiB,2,14 GiB/vCPU,0,384 GiB,$0.55 hourly,,,$0.1016 hourly,$0.61 hourly,,,$0.1127 hourly
G2,G2,56 GiB,4,14 GiB/vCPU,0,768 GiB,$1.10 hourly,,,$0.2033 hourly,$1.22 hourly,,,$0.2255 hourly
G3,G3,112 GiB,8,14 GiB/vCPU,0,1536 GiB,,,,,,,,
G4,G4,224 GiB,16,14 GiB/vCPU,0,3072 GiB,,,,,,,,
G5,G5,448 GiB,32,14 GiB/vCPU,0,6144 GiB,,,,,,,,
GS1,Gs1,28 GiB,2,14 GiB/vCPU,0,56 GiB,$0.55 hourly,,,$0.1016 hourly,$0.61 hourly,,,$0.1127 hourly
GS2,Gs2,56 GiB,4,14 GiB/vCPU,0,112 GiB,$1.10 hourly,,,$0.2033 hourly,$1.22 hourly,,,$0.2255 hourly
GS3,Gs3,112 GiB,8,14 GiB/vCPU,0,224 GiB,,,,,,,,
GS4,Gs4,224 GiB,16,14 GiB/vCPU,0,448 GiB,,,,,,,,
GS5,Gs5,448 GiB,32,14 GiB/vCPU,0,896 GiB,,,,,,,,
H16,H16,112 GiB,16,7 GiB/vCPU,0,2000 GiB,$1.807 hourly,,,$0.3339 hourly,$3.508 hourly,,,$0.6483 hourly
H16m,H16m,224 GiB,16,14 GiB/vCPU,0,2000 GiB,$2.422 hourly,,,$0.4476 hourly,$4.699 hourly,,,$0.8684 hourly
H16mr,H16mr,224 GiB,16,14 GiB/vCPU,0,2000 GiB,$2.664 hourly,,,$0.4923 hourly,$5.169 hourly,,,$0.9552 hourly
H16r,H16r,112 GiB,16,7 GiB/vCPU,0,2000 GiB,$1.988 hourly,,,$0.3674 hourly,$3.858 hourly,,,$0.713 hourly
H8,H8,56 GiB,8,7 GiB/vCPU,0,1000 GiB,$0.904 hourly,,,$0.1671 hourly,$1.754 hourly,,,$0.3241 hourly
H8m,H8m,112 GiB,8,14 GiB/vCPU,0,1000 GiB,$1.211 hourly,,,$0.2238 hourly,$2.35 hourly,,,$0.4343 hourly
HB120-96rs v3,HB120-96rs v3,456 GiB,120,3.8 GiB/vCPU,0,2100 GiB,$3.60 hourly,,,$0.6653 hourly,$9.12 hourly,,,$2.5965 hourly
HB120rs v2,HB120rs v2,456 GiB,120,3.8 GiB/vCPU,0,480 GiB,$3.60 hourly,,,$1.0235 hourly,$9.12 hourly,,,$2.5965 hourly
HB120rs v3,HB120rs v3,456 GiB,120,3.8 GiB/vCPU,0,2100 GiB,$3.60 hourly,,,$0.6653 hourly,$9.12 hourly,,,$1.6854 hourly
HB176-96rs v4,HB176-96rs v4,768 GiB,176,4.36 GiB/vCPU,0,3600 GiB,$7.20 hourly,,,$2.1794 hourly,$15.296 hourly,,,$4.8504 hourly
HB176rs v4,HB176rs v4,768 GiB,176,4.36 GiB/vCPU,0,3600 GiB,$7.20 hourly,,,$2.1794 hourly,$15.296 hourly,,,$4.8504 hourly
HB368-96rs v5,HB368-96rs v5,438 GiB,368,1.19 GiB/vCPU,0,15360 GiB,,,,,,,,
HB368rs v5,HB368rs v5,438 GiB,368,1.19 GiB/vCPU,0,15360 GiB,,,,,,,,
HB60-45rs,HB60-45rs,228 GiB,60,3.8 GiB/vCPU,0,700 GiB,$2.28 hourly,,,$0.4213 hourly,$5.04 hourly,,,$0.9314 hourly
HB60rs,HB60rs,228 GiB,60,3.8 GiB/vCPU,0,700 GiB,$2.28 hourly,,,$0.4213 hourly,$5.04 hourly,,,$0.9314 hourly
HC44-32rs,HC44-32rs,352 GiB,44,8 GiB/vCPU,0,700 GiB,$3.168 hourly,,,$0.8573 hourly,$5.192 hourly,,,$1.4745 hourly
HC44rs,HC44rs,352 GiB,44,8 GiB/vCPU,0,700 GiB,$3.168 hourly,,,$0.8573 hourly,$5.192 hourly,,,$1.4745 hourly
HX176-96rs,HX176-96rs,1408 GiB,176,8 GiB/vCPU,0,3600 GiB,$8.64 hourly,,,$1.5967 hourly,$16.736 hourly,,,$3.0928 hourly
HX176rs,HX176rs,1408 GiB,176,8 GiB/vCPU,0,3600 GiB,$8.64 hourly,,,$1.5967 hourly,$16.736 hourly,,,$3.0928 hourly
L12aos v4,L12aos v4,96 GiB,12,8 GiB/vCPU,0,8640 GiB,$1.356 hourly,,,$0.2658 hourly,$1.908 hourly,,,$0.374 hourly
L16aos v4,L16aos v4,128 GiB,16,8 GiB/vCPU,0,11520 GiB,$1.808 hourly,,,$0.3544 hourly,$2.544 hourly,,,$0.4986 hourly
L16as v3,L16as v3,128 GiB,16,8 GiB/vCPU,0,160 GiB,$1.248 hourly,,,$0.2306 hourly,$1.984 hourly,,,$0.3666 hourly
L16as v4,L16as v4,128 GiB,16,8 GiB/vCPU,0,3840 GiB,$1.376 hourly,,,$0.2697 hourly,$2.112 hourly,,,$0.414 hourly
L16s,L16s,128 GiB,16,8 GiB/vCPU,0,2807 GiB,,,,,,,,
L16s v2,L16s v2,128 GiB,16,8 GiB/vCPU,0,160 GiB,$1.248 hourly,,,$0.2306 hourly,$1.984 hourly,,,$0.3666 hourly
L16s v3,L16s v3,128 GiB,16,8 GiB/vCPU,0,160 GiB,$1.392 hourly,,,$0.401 hourly,$2.128 hourly,,,$0.6131 hourly
L16s v4,L16s v4,128 GiB,16,8 GiB/vCPU,0,3840 GiB,$1.392 hourly,,,$0.2572 hourly,$2.128 hourly,,,$0.3933 hourly
L24aos v4,L24aos v4,192 GiB,24,8 GiB/vCPU,0,17280 GiB,$2.712 hourly,,,$0.5316 hourly,$3.816 hourly,,,$0.7479 hourly
L2aos v4,L2aos v4,16 GiB,2,8 GiB/vCPU,0,1440 GiB,$0.226 hourly,,,$0.0443 hourly,$0.318 hourly,,,$0.0623 hourly
L2as v4,L2as v4,16 GiB,2,8 GiB/vCPU,0,480 GiB,$0.172 hourly,,,$0.0337 hourly,$0.264 hourly,,,$0.0517 hourly
L2s v4,L2s v4,16 GiB,2,8 GiB/vCPU,0,480 GiB,$0.174 hourly,,,$0.0322 hourly,$0.266 hourly,,,$0.0492 hourly
L32aos v4,L32aos v4,256 GiB,32,8 GiB/vCPU,0,23040 GiB,$3.616 hourly,,,$0.7087 hourly,$5.088 hourly,,,$0.9972 hourly
L32as v3,L32as v3,256 GiB,32,8 GiB/vCPU,0,320 GiB,$2.496 hourly,,,$0.4613 hourly,$3.968 hourly,,,$0.7333 hourly
L32as v4,L32as v4,256 GiB,32,8 GiB/vCPU,0,7680 GiB,$2.752 hourly,,,$0.5394 hourly,$4.224 hourly,,,$0.8279 hourly
L32s,L32s,256 GiB,32,8 GiB/vCPU,0,5630 GiB,,,,,,,,
L32s v2,L32s v2,256 GiB,32,8 GiB/vCPU,0,320 GiB,$2.496 hourly,,,$0.4613 hourly,$3.968 hourly,,,$0.7333 hourly
L32s v3,L32s v3,256 GiB,32,8 GiB/vCPU,0,320 GiB,$2.784 hourly,,,$0.8021 hourly,$4.256 hourly,,,$1.2262 hourly
L32s v4,L32s v4,256 GiB,32,8 GiB/vCPU,0,7680 GiB,$2.784 hourly,,,$0.5145 hourly,$4.256 hourly,,,$0.7865 hourly
L48as v3,L48as v3,384 GiB,48,8 GiB/vCPU,0,480 GiB,$3.744 hourly,,,$0.6919 hourly,$5.952 hourly,,,$1.0999 hourly
L48as v4,L48as v4,384 GiB,48,8 GiB/vCPU,0,11520 GiB,$4.128 hourly,,,$0.8091 hourly,$6.336 hourly,,,$1.2419 hourly
L48s v2,L48s v2,384 GiB,48,8 GiB/vCPU,0,480 GiB,$3.744 hourly,,,$0.6919 hourly,$5.952 hourly,,,$1.0999 hourly
L48s v3,L48s v3,384 GiB,48,8 GiB/vCPU,0,480 GiB,$4.176 hourly,,,$1.2031 hourly,$6.384 hourly,,,$1.8392 hourly
L48s v4,L48s v4,384 GiB,48,8 GiB/vCPU,0,11520 GiB,$4.176 hourly,,,$0.7717 hourly,$6.384 hourly,,,$1.1798 hourly
L4aos v4,L4aos v4,32 GiB,4,8 GiB/vCPU,0,2880 GiB,$0.452 hourly,,,$0.0886 hourly,$0.636 hourly,,,$0.1247 hourly
L4as v4,L4as v4,32 GiB,4,8 GiB/vCPU,0,960 GiB,$0.344 hourly,,,$0.0674 hourly,$0.528 hourly,,,$0.1035 hourly
L4s,L4s,32 GiB,4,8 GiB/vCPU,0,678 GiB,$0.343 hourly,,,$0.0634 hourly,$0.889 hourly,,,$0.1643 hourly
L4s v4,L4s v4,32 GiB,4,8 GiB/vCPU,0,960 GiB,$0.348 hourly,,,$0.0643 hourly,$0.532 hourly,,,$0.0983 hourly
L64as v3,L64as v3,512 GiB,64,8 GiB/vCPU,0,640 GiB,$4.992 hourly,,,$0.9225 hourly,$7.936 hourly,,,$1.4666 hourly
L64as v4,L64as v4,512 GiB,64,8 GiB/vCPU,0,15360 GiB,$5.504 hourly,,,$1.0788 hourly,$8.448 hourly,,,$1.6558 hourly
L64s v2,L64s v2,512 GiB,64,8 GiB/vCPU,0,640 GiB,$4.992 hourly,,,$0.9225 hourly,$7.936 hourly,,,$1.4666 hourly
L64s v3,L64s v3,512 GiB,64,8 GiB/vCPU,0,640 GiB,$5.568 hourly,,,$1.6041 hourly,$8.512 hourly,,,$2.4523 hourly
L64s v4,L64s v4,512 GiB,64,8 GiB/vCPU,0,15360 GiB,$5.568 hourly,,,$1.029 hourly,$8.512 hourly,,,$1.573 hourly
L80as v3,L80as v3,640 GiB,80,8 GiB/vCPU,0,800 GiB,$6.24 hourly,,,$1.1532 hourly,$9.92 hourly,,,$1.8332 hourly
L80as v4,L80as v4,640 GiB,80,8 GiB/vCPU,0,19200 GiB,$6.88 hourly,,,$1.3485 hourly,$10.56 hourly,,,$2.0698 hourly
L80s v2,L80s v2,640 GiB,80,8 GiB/vCPU,0,800 GiB,$6.24 hourly,,,$1.1532 hourly,$9.92 hourly,,,$1.8332 hourly
L80s v3,L80s v3,640 GiB,80,8 GiB/vCPU,0,800 GiB,$6.96 hourly,,,$2.0052 hourly,$10.64 hourly,,,$3.0654 hourly
L80s v4,L80s v4,640 GiB,80,8 GiB/vCPU,0,19200 GiB,$6.96 hourly,,,$1.2862 hourly,$10.64 hourly,,,$1.9663 hourly
L8aos v4,L8aos v4,64 GiB,8,8 GiB/vCPU,0,5760 GiB,$0.904 hourly,,,$0.1772 hourly,$1.272 hourly,,,$0.2493 hourly
L8as v3,L8as v3,64 GiB,8,8 GiB/vCPU,0,80 GiB,$0.624 hourly,,,$0.1153 hourly,$0.992 hourly,,,$0.1833 hourly
L8as v4,L8as v4,64 GiB,8,8 GiB/vCPU,0,1920 GiB,$0.688 hourly,,,$0.1348 hourly,$1.056 hourly,,,$0.207 hourly
L8s,L8s,64 GiB,8,8 GiB/vCPU,0,1388 GiB,$0.686 hourly,,,$0.1268 hourly,,,,
L8s v2,L8s v2,64 GiB,8,8 GiB/vCPU,0,80 GiB,$0.624 hourly,,,$0.1153 hourly,$0.992 hourly,,,$0.1833 hourly
