url,error
https://www.techpowerup.com/ssd-specs/samsung-970-evo-plus-2-tb.d992,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-970-evo-plus-2-tb.d992
https://www.techpowerup.com/ssd-specs/samsung-970-evo-plus-500-gb.d59,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-970-evo-plus-500-gb.d59
https://www.techpowerup.com/ssd-specs/samsung-970-pro-1-tb.d55,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-970-pro-1-tb.d55
https://www.techpowerup.com/ssd-specs/samsung-980-1-tb.d58,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-980-1-tb.d58
https://www.techpowerup.com/ssd-specs/samsung-980-pro-1-tb.d47,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-980-pro-1-tb.d47
https://www.techpowerup.com/ssd-specs/samsung-980-pro-2-tb.d52,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-980-pro-2-tb.d52
https://www.techpowerup.com/ssd-specs/samsung-990-evo-plus-1-tb.d2207,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-990-evo-plus-1-tb.d2207
https://www.techpowerup.com/ssd-specs/samsung-990-evo-plus-2-tb.d2206,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-990-evo-plus-2-tb.d2206
https://www.techpowerup.com/ssd-specs/samsung-990-evo-plus-4-tb.d2205,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-990-evo-plus-4-tb.d2205
https://www.techpowerup.com/ssd-specs/samsung-990-pro-1-tb.d861,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-990-pro-1-tb.d861
https://www.techpowerup.com/ssd-specs/samsung-990-pro-2-tb.d1896,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-990-pro-2-tb.d1896
https://www.techpowerup.com/ssd-specs/samsung-990-pro-2-tb.d2650,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-990-pro-2-tb.d2650
https://www.techpowerup.com/ssd-specs/samsung-990-pro-2-tb.d862,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-990-pro-2-tb.d862
https://www.techpowerup.com/ssd-specs/samsung-990-pro-4-tb.d863,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-990-pro-4-tb.d863
https://www.techpowerup.com/ssd-specs/samsung-pm961-256-gb.d1201,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm961-256-gb.d1201
https://www.techpowerup.com/ssd-specs/samsung-pm981-1-tb.d1220,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm981-1-tb.d1220
https://www.techpowerup.com/ssd-specs/samsung-pm981-256-gb.d1222,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm981-256-gb.d1222
https://www.techpowerup.com/ssd-specs/samsung-pm981-512-gb.d1221,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm981-512-gb.d1221
https://www.techpowerup.com/ssd-specs/samsung-pm981a-1-tb.d782,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm981a-1-tb.d782
https://www.techpowerup.com/ssd-specs/samsung-pm981a-256-gb.d784,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm981a-256-gb.d784
https://www.techpowerup.com/ssd-specs/samsung-pm981a-512-gb.d783,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm981a-512-gb.d783
https://www.techpowerup.com/ssd-specs/samsung-pm9a1-1-tb.d786,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm9a1-1-tb.d786
https://www.techpowerup.com/ssd-specs/samsung-pm9a1-2-tb.d785,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm9a1-2-tb.d785
https://www.techpowerup.com/ssd-specs/samsung-pm9a1-256-gb.d788,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm9a1-256-gb.d788
https://www.techpowerup.com/ssd-specs/samsung-pm9a1-512-gb.d787,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm9a1-512-gb.d787
https://www.techpowerup.com/ssd-specs/samsung-pm9b1-256-gb.d2081,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm9b1-256-gb.d2081
https://www.techpowerup.com/ssd-specs/samsung-pm9b1-512-gb.d1435,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm9b1-512-gb.d1435
https://www.techpowerup.com/ssd-specs/samsung-pm9c1a-1-tb.d1801,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/samsung-pm9c1a-1-tb.d1801
https://www.techpowerup.com/ssd-specs/sandisk-wd-blue-sn5100-1-tb.d2532,429 Client Error: Too Many Requests for url: https://www.techpowerup.com/ssd-specs/sandisk-wd-blue-sn5100-1-tb.d2532
