Instance Name,API Name,Instance Memory,vCPUs,Memory per vCPU,GPUs,Network Performance,Generation,Local SSD,Shared CPU,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,7.08 GiB/vCPU,1,Variable,current,No,No,$0.8328 hourly,$0.3698 hourly,$1.3848 hourly,$0.9218 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,7.08 GiB/vCPU,2,Variable,current,No,No,$1.6656 hourly,$0.7395 hourly,$2.7696 hourly,$1.8435 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,7.08 GiB/vCPU,4,Variable,current,No,No,$3.3312 hourly,$1.479 hourly,$5.5392 hourly,$3.687 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,7.08 GiB/vCPU,8,Variable,current,No,No,$6.6624 hourly,$2.958 hourly,$11.0784 hourly,$7.374 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,14.17 GiB/vCPU,16,Variable,current,No,No,$9.9066 hourly,$4.3982 hourly,$14.3226 hourly,$8.8142 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,14.17 GiB/vCPU,1,Variable,current,No,No,$1.2383 hourly,$0.5498 hourly,$1.7903 hourly,$1.1018 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,14.17 GiB/vCPU,2,Variable,current,No,No,$2.4767 hourly,$1.0996 hourly,$3.5807 hourly,$2.2036 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,14.17 GiB/vCPU,4,Variable,current,No,No,$4.9533 hourly,$2.1991 hourly,$7.1613 hourly,$4.4071 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,14.17 GiB/vCPU,8,Variable,current,No,No,$9.9066 hourly,$4.3982 hourly,$14.3226 hourly,$8.8142 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,9 GiB/vCPU,8,Variable,current,No,No,$9.4601 hourly,$2.4948 hourly,$19.0281 hourly,$12.0628 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,9 GiB/vCPU,8,Variable,current,No,No,$9.4601 hourly,$2.4948 hourly,$19.0281 hourly,$12.0628 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,9 GiB/vCPU,1,Variable,current,No,No,$1.1825 hourly,$0.3118 hourly,$2.3785 hourly,$1.5078 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,9 GiB/vCPU,2,Variable,current,No,No,$2.365 hourly,$0.6237 hourly,$4.757 hourly,$3.0157 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,9 GiB/vCPU,4,Variable,current,No,No,$4.73 hourly,$1.2474 hourly,$9.514 hourly,$6.0314 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,9 GiB/vCPU,8,Variable,current,No,No,$9.4601 hourly,$2.4948 hourly,$19.0281 hourly,$12.0628 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,9 GiB/vCPU,8,Variable,current,No,No,$9.4601 hourly,$2.4948 hourly,$19.0281 hourly,$12.0628 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,13.18 GiB/vCPU,8,Variable,current,No,No,$12.266 hourly,$3.2352 hourly,$22.57 hourly,$13.5392 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,13.18 GiB/vCPU,8,Variable,current,No,No,$12.266 hourly,$3.2352 hourly,$22.57 hourly,$13.5392 hourly
C2D High CPU 112,c2d-highcpu-112,224 GiB,112,2 GiB/vCPU,0,Variable,current,No,No,$4.7277 hourly,$0.9589 hourly,$9.8797 hourly,$6.1109 hourly
C2D High CPU 16,c2d-highcpu-16,32 GiB,16,2 GiB/vCPU,0,Variable,current,No,No,$0.6754 hourly,$0.137 hourly,$1.4114 hourly,$0.873 hourly
C2D High CPU 2,c2d-highcpu-2,4 GiB,2,2 GiB/vCPU,0,Variable,current,No,No,$0.0844 hourly,$0.0171 hourly,$0.1764 hourly,$0.1091 hourly
C2D High CPU 32,c2d-highcpu-32,64 GiB,32,2 GiB/vCPU,0,Variable,current,No,No,$1.3508 hourly,$0.274 hourly,$2.8228 hourly,$1.746 hourly
C2D High CPU 4,c2d-highcpu-4,8 GiB,4,2 GiB/vCPU,0,Variable,current,No,No,$0.1688 hourly,$0.0342 hourly,$0.3528 hourly,$0.2182 hourly
C2D High CPU 56,c2d-highcpu-56,112 GiB,56,2 GiB/vCPU,0,Variable,current,No,No,$2.3639 hourly,$0.4795 hourly,$4.9399 hourly,$3.0555 hourly
C2D High CPU 8,c2d-highcpu-8,16 GiB,8,2 GiB/vCPU,0,Variable,current,No,No,$0.3377 hourly,$0.0685 hourly,$0.7057 hourly,$0.4365 hourly
C2D High Memory 112,c2d-highmem-112,896 GiB,112,8 GiB/vCPU,0,Variable,current,No,No,$7.7235 hourly,$1.5678 hourly,$12.8755 hourly,$6.7198 hourly
C2D High Memory 16,c2d-highmem-16,128 GiB,16,8 GiB/vCPU,0,Variable,current,No,No,$1.1034 hourly,$0.224 hourly,$1.8394 hourly,$0.96 hourly
C2D High Memory 2,c2d-highmem-2,16 GiB,2,8 GiB/vCPU,0,Variable,current,No,No,$0.1379 hourly,$0.028 hourly,$0.2299 hourly,$0.12 hourly
C2D High Memory 32,c2d-highmem-32,256 GiB,32,8 GiB/vCPU,0,Variable,current,No,No,$2.2067 hourly,$0.4479 hourly,$3.6787 hourly,$1.9199 hourly
C2D High Memory 4,c2d-highmem-4,32 GiB,4,8 GiB/vCPU,0,Variable,current,No,No,$0.2758 hourly,$0.056 hourly,$0.4598 hourly,$0.24 hourly
C2D High Memory 56,c2d-highmem-56,448 GiB,56,8 GiB/vCPU,0,Variable,current,No,No,$3.8618 hourly,$0.7839 hourly,$6.4378 hourly,$3.3599 hourly
C2D High Memory 8,c2d-highmem-8,64 GiB,8,8 GiB/vCPU,0,Variable,current,No,No,$0.5517 hourly,$0.112 hourly,$0.9197 hourly,$0.48 hourly
C2D Standard 112,c2d-standard-112,448 GiB,112,4 GiB/vCPU,0,Variable,current,No,No,$5.7263 hourly,$1.1619 hourly,$10.8783 hourly,$6.3139 hourly
C2D Standard 16,c2d-standard-16,64 GiB,16,4 GiB/vCPU,0,Variable,current,No,No,$0.818 hourly,$0.166 hourly,$1.554 hourly,$0.902 hourly
C2D Standard 2,c2d-standard-2,8 GiB,2,4 GiB/vCPU,0,Variable,current,No,No,$0.1023 hourly,$0.0207 hourly,$0.1943 hourly,$0.1127 hourly
C2D Standard 32,c2d-standard-32,128 GiB,32,4 GiB/vCPU,0,Variable,current,No,No,$1.6361 hourly,$0.332 hourly,$3.1081 hourly,$1.804 hourly
C2D Standard 4,c2d-standard-4,16 GiB,4,4 GiB/vCPU,0,Variable,current,No,No,$0.2045 hourly,$0.0415 hourly,$0.3885 hourly,$0.2255 hourly
C2D Standard 56,c2d-standard-56,224 GiB,56,4 GiB/vCPU,0,Variable,current,No,No,$2.8632 hourly,$0.5809 hourly,$5.4392 hourly,$3.1569 hourly
C2D Standard 8,c2d-standard-8,32 GiB,8,4 GiB/vCPU,0,Variable,current,No,No,$0.409 hourly,$0.083 hourly,$0.777 hourly,$0.451 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,2 GiB/vCPU,0,Variable,current,No,No,$7.4846 hourly,$1.1447 hourly,$15.5806 hourly,$9.2407 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,2.67 GiB/vCPU,0,Variable,current,No,No,$8.6691 hourly,$1.3367 hourly,$17.5011 hourly,$10.1687 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,2 GiB/vCPU,0,Variable,current,No,No,$0.9356 hourly,$0.1431 hourly,$1.9476 hourly,$1.1551 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,2 GiB/vCPU,0,Variable,current,No,No,$0.1701 hourly,$0.026 hourly,$0.3541 hourly,$0.21 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,2 GiB/vCPU,0,Variable,current,No,No,$1.8711 hourly,$0.2862 hourly,$3.8951 hourly,$2.3102 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,2 GiB/vCPU,0,Variable,current,No,No,$0.3402 hourly,$0.052 hourly,$0.7082 hourly,$0.42 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,2 GiB/vCPU,0,Variable,current,No,No,$3.7423 hourly,$0.5724 hourly,$7.7903 hourly,$4.6204 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,8 GiB/vCPU,0,Variable,current,No,No,$11.6431 hourly,$1.8702 hourly,$19.7391 hourly,$9.9662 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,8 GiB/vCPU,0,Variable,current,No,No,$12.7016 hourly,$2.0402 hourly,$21.5336 hourly,$10.8722 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,8 GiB/vCPU,0,Variable,current,No,No,$1.4554 hourly,$0.2338 hourly,$2.4674 hourly,$1.2458 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,8 GiB/vCPU,0,Variable,current,No,No,$0.2646 hourly,$0.0425 hourly,$0.4486 hourly,$0.2265 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,8 GiB/vCPU,0,Variable,current,No,No,$2.9108 hourly,$0.4675 hourly,$4.9348 hourly,$2.4915 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,8 GiB/vCPU,0,Variable,current,No,No,$0.5292 hourly,$0.085 hourly,$0.8972 hourly,$0.453 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,8 GiB/vCPU,0,Variable,current,No,No,$5.8216 hourly,$0.9351 hourly,$9.8696 hourly,$4.9831 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,4 GiB/vCPU,0,Variable,current,No,No,$8.8708 hourly,$1.3865 hourly,$16.9668 hourly,$9.4825 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,4 GiB/vCPU,0,Variable,current,No,No,$8.8708 hourly,$1.3865 hourly,$16.9668 hourly,$9.4825 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,4 GiB/vCPU,0,Variable,current,No,No,$9.6772 hourly,$1.5126 hourly,$18.5092 hourly,$10.3446 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,4 GiB/vCPU,0,Variable,current,No,No,$1.1088 hourly,$0.1733 hourly,$2.1208 hourly,$1.1853 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,4 GiB/vCPU,0,Variable,current,No,No,$1.1088 hourly,$0.1733 hourly,$2.1208 hourly,$1.1853 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,4 GiB/vCPU,0,Variable,current,No,No,$0.2016 hourly,$0.0315 hourly,$0.3856 hourly,$0.2155 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,4 GiB/vCPU,0,Variable,current,No,No,$0.2016 hourly,$0.0315 hourly,$0.3856 hourly,$0.2155 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,4 GiB/vCPU,0,Variable,current,No,No,$2.2177 hourly,$0.3466 hourly,$4.2417 hourly,$2.3706 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,4 GiB/vCPU,0,Variable,current,No,No,$2.2177 hourly,$0.3466 hourly,$4.2417 hourly,$2.3706 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,4 GiB/vCPU,0,Variable,current,No,No,$0.4032 hourly,$0.063 hourly,$0.7712 hourly,$0.431 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,4 GiB/vCPU,0,Variable,current,No,No,$0.4032 hourly,$0.063 hourly,$0.7712 hourly,$0.431 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,4 GiB/vCPU,0,Variable,current,No,No,$4.4354 hourly,$0.6933 hourly,$8.4834 hourly,$4.7413 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,4 GiB/vCPU,0,Variable,current,No,No,$4.4354 hourly,$0.6933 hourly,$8.4834 hourly,$4.7413 hourly
C3D High CPU 16,c3d-highcpu-16,32 GiB,16,2 GiB/vCPU,0,Variable,current,No,No,$0.5997 hourly,$0.0905 hourly,$1.3357 hourly,$0.8265 hourly
C3D High CPU 180,c3d-highcpu-180,354 GiB,180,1.97 GiB/vCPU,0,Variable,current,No,No,$6.7228 hourly,$1.0141 hourly,$15.0028 hourly,$9.2941 hourly
C3D High CPU 30,c3d-highcpu-30,59 GiB,30,1.97 GiB/vCPU,0,Variable,current,No,No,$1.1205 hourly,$0.169 hourly,$2.5005 hourly,$1.549 hourly
C3D High CPU 360,c3d-highcpu-360,708 GiB,360,1.97 GiB/vCPU,0,Variable,current,No,No,$13.4457 hourly,$2.0283 hourly,$30.0057 hourly,$18.5883 hourly
C3D High CPU 4,c3d-highcpu-4,8 GiB,4,2 GiB/vCPU,0,Variable,current,No,No,$0.1499 hourly,$0.0226 hourly,$0.3339 hourly,$0.2066 hourly
C3D High CPU 60,c3d-highcpu-60,118 GiB,60,1.97 GiB/vCPU,0,Variable,current,No,No,$2.2409 hourly,$0.338 hourly,$5.0009 hourly,$3.098 hourly
C3D High CPU 8,c3d-highcpu-8,16 GiB,8,2 GiB/vCPU,0,Variable,current,No,No,$0.2998 hourly,$0.0452 hourly,$0.6678 hourly,$0.4132 hourly
C3D High CPU 90,c3d-highcpu-90,177 GiB,90,1.97 GiB/vCPU,0,Variable,current,No,No,$3.3614 hourly,$0.5071 hourly,$7.5014 hourly,$4.6471 hourly
C3D High Memory 16,c3d-highmem-16,128 GiB,16,8 GiB/vCPU,0,Variable,current,No,No,$0.9798 hourly,$0.1478 hourly,$1.7158 hourly,$0.8838 hourly
C3D High Memory 16 lssd,c3d-highmem-16-lssd,128 GiB,16,8 GiB/vCPU,0,Variable,current,No,No,$0.9798 hourly,$0.1478 hourly,$1.7158 hourly,$0.8838 hourly
C3D High Memory 180,c3d-highmem-180,1440 GiB,180,8 GiB/vCPU,0,Variable,current,No,No,$11.0223 hourly,$1.6625 hourly,$19.3023 hourly,$9.9425 hourly
C3D High Memory 180 lssd,c3d-highmem-180-lssd,1440 GiB,180,8 GiB/vCPU,0,Variable,current,No,No,$11.0223 hourly,$1.6625 hourly,$19.3023 hourly,$9.9425 hourly
C3D High Memory 30,c3d-highmem-30,240 GiB,30,8 GiB/vCPU,0,Variable,current,No,No,$1.8371 hourly,$0.2771 hourly,$3.2171 hourly,$1.6571 hourly
C3D High Memory 30 lssd,c3d-highmem-30-lssd,240 GiB,30,8 GiB/vCPU,0,Variable,current,No,No,$1.8371 hourly,$0.2771 hourly,$3.2171 hourly,$1.6571 hourly
C3D High Memory 360,c3d-highmem-360,2880 GiB,360,8 GiB/vCPU,0,Variable,current,No,No,$22.0446 hourly,$3.325 hourly,$38.6046 hourly,$19.885 hourly
C3D High Memory 360 lssd,c3d-highmem-360-lssd,2880 GiB,360,8 GiB/vCPU,0,Variable,current,No,No,$22.0446 hourly,$3.325 hourly,$38.6046 hourly,$19.885 hourly
C3D High Memory 4,c3d-highmem-4,32 GiB,4,8 GiB/vCPU,0,Variable,current,No,No,$0.2449 hourly,$0.0369 hourly,$0.4289 hourly,$0.2209 hourly
C3D High Memory 60,c3d-highmem-60,480 GiB,60,8 GiB/vCPU,0,Variable,current,No,No,$3.6741 hourly,$0.5542 hourly,$6.4341 hourly,$3.3142 hourly
C3D High Memory 60 lssd,c3d-highmem-60-lssd,480 GiB,60,8 GiB/vCPU,0,Variable,current,No,No,$3.6741 hourly,$0.5542 hourly,$6.4341 hourly,$3.3142 hourly
C3D High Memory 8,c3d-highmem-8,64 GiB,8,8 GiB/vCPU,0,Variable,current,No,No,$0.4899 hourly,$0.0739 hourly,$0.8579 hourly,$0.4419 hourly
C3D High Memory 8 lssd,c3d-highmem-8-lssd,64 GiB,8,8 GiB/vCPU,0,Variable,current,No,No,$0.4899 hourly,$0.0739 hourly,$0.8579 hourly,$0.4419 hourly
C3D High Memory 90,c3d-highmem-90,720 GiB,90,8 GiB/vCPU,0,Variable,current,No,No,$5.5112 hourly,$0.8312 hourly,$9.6512 hourly,$4.9712 hourly
C3D High Memory 90 lssd,c3d-highmem-90-lssd,720 GiB,90,8 GiB/vCPU,0,Variable,current,No,No,$5.5112 hourly,$0.8312 hourly,$9.6512 hourly,$4.9712 hourly
C3D Standard 16,c3d-standard-16,64 GiB,16,4 GiB/vCPU,0,Variable,current,No,No,$0.7264 hourly,$0.1096 hourly,$1.4624 hourly,$0.8456 hourly
